docket_id,id,comment_url,attachment_count,number_of_comments_received,posted_date,congress,submitter_name,bioname,chamber,state,icpsr,title,organization,org_name_short,DATE,comment_type,org_name,org_type,position,position_certainty,TYPE,coalition,coalition_type,ask,ask1,ask2,ask3,success,success_certainty,sucess1,success2,success3,response,pressure_phrases,accept_phrases,compromise_phrases,reject_phrases,notes,
ACF-2018-0004,ACF-2018-0004-0007,https://www.regulations.gov/comment/ACF-2018-0004-0007,1,1,2018-06-26,115,Jacqueline Pata,,,,,NCAI AFCARS Comments 04.11.2018,National Congress of American Indians (NCAI),,2018-06-26,org,National Congress of American Indians,ngo;intergovernmental lobby,,,,,,,,,,,,,,,,,,,,,
ACF-2018-0004,ACF-2018-0004-0013,https://www.regulations.gov/comment/ACF-2018-0004-0013,1,1,2018-06-26,115,Ron Wyden,"WYDEN, Ronald Lee",Senate,oregon,14871,Comment on FR Doc # 2018-05038,United States Senate,,2018-06-26,elected,"WYDEN, Ronald Lee",Senate-oregon,,,,,,,,,,,,,,,,,,,,,
ACF-2018-0004,ACF-2018-0004-0034,https://www.regulations.gov/comment/ACF-2018-0004-0034,1,1,2018-06-26,115,Danny Davis,"DAVIS, Danny K.",House,illinois,29717,Danny K Davis AFCARS comment,U.S. House of Representatives,,2018-06-26,elected,"DAVIS, Danny K.",House-illinois,,,,,,,,,,,,,,,,,,,,,
AHRQ-2008-0001,AHRQ-2008-0001-0111,https://www.regulations.gov/comment/AHRQ-2008-0001-0111,1,1,2008-04-28,110,Rachel Groman,,,,,Comment on FR Doc # Number 29,American Association of Neurological Surgeons/Congress of Neurological Surgeons,,2008-04-28,org,American Association of Neurological Surgeons,ngo;professional,,,,,,,,,,,,,,,,,,,,,
AID-2020-0001,AID-2020-0001-0351,https://www.regulations.gov/comment/AID-2020-0001-0351,1,1,2020-03-04,116,,"CLOUD, Michael",House,texas,21758,Comment on FR Doc # 2019-27164,Congressional Office of Michael Cloud,,2020-03-04,elected,"CLOUD, Michael",House-texas,,,,,,,,,,,,,,,,,,,,,
AMS-DA-09-0007,AMS-DA-09-0007-0003,https://www.regulations.gov/comment/AMS-DA-09-0007-0003,0,1,2009-12-22,111,Bob Haefner,,,,,"Comment from Bob Haefner, NH House of Representatives",NH House of Representatives,,2009-12-22,elected; state house,,-,,,,,,,,,,,,,,,,,,,,,
AMS-FTPP-19-0037,AMS-FTPP-19-0037-0004,https://www.regulations.gov/comment/AMS-FTPP-19-0037-0004,1,1,2019-05-15,116,James Inhofe,"INHOFE, James Mountain",Senate,oklahoma,15424,"U.S. Senate Letter May 3, 2019",U. S. Senate,,2019-05-15,elected,"INHOFE, James Mountain",Senate-oklahoma,,,,,,,,,,,,,,,,,,,,,
AMS-FTPP-19-0037,AMS-FTPP-19-0037-0555,https://www.regulations.gov/comment/AMS-FTPP-19-0037-0555,1,1,2019-06-26,116,Roger Marshall,"MARSHALL, Roger Wayne",House,kansas,21734,"Marshall, Roger",U.S. House of Representatives,,2019-06-26,elected,"MARSHALL, Roger Wayne",House-kansas,,,,,,,,,,,,,,,,,,,,,
AMS-FV-07-0080,AMS-FV-07-0080-0034,https://www.regulations.gov/comment/AMS-FV-07-0080-0034,1,1,2008-08-08,110,"Dennis Cardoza, etal","CARDOZA, Dennis A.",House,california,20306,Congressional Letter-Comment,House of Representatives,,2008-08-08,elected,"CARDOZA, Dennis A.",House-california,,,,,,,,,,,,,,,,,,,,,
AMS-FV-08-0047,AMS-FV-08-0047-0005,https://www.regulations.gov/comment/AMS-FV-08-0047-0005,1,1,2009-05-22,111,Bob Casey,"CASEY, Robert (Bob), Jr.",Senate,pennsylvania,40703,Comment from Senator Casey,Senator Casey from Pennsylvania,,2009-05-22,elected,"CASEY, Robert (Bob), Jr.",Senate-pennsylvania,,,,,,,,,,,,,,,,,,,,,
AMS-FV-10-0008,AMS-FV-10-0008-0406,https://www.regulations.gov/comment/AMS-FV-10-0008-0406,1,1,2011-02-07,112,Patrick McHenry,"McHENRY, Patrick T.",House,north carolina,20522,"Comment from Patrick McHenry, House of Representatives",House of Representatives,,2011-02-07,elected,"McHENRY, Patrick T.",House-north carolina,,,,,,,,,,,,,,,,,,,,,
AMS-LS-07-0081,AMS-LS-07-0081-0496,https://www.regulations.gov/comment/AMS-LS-07-0081-0496,1,1,2007-08-27,110,Nydia velasquez,"VELASQUEZ, Nydia",House,new york,,Public Submission-House Committee on Small Business,House of Representative Committe on Small Business,,2007-08-27,elected; house committee,"VELAZQUEZ, Nydia M.",House-new york,2,,,,,"""As the United States Department of Agriculture (USDA or the Agency) works to issue a final rule for these commodities, I urge the Agency to ensure that small businesses are not burdened with unnecessary record keeping requirements."" ","""The Agency should seek to be as flexible as possible in permitting existing records kept by small businesses in the food industry to satisfy the recordkeeping requirements of mandatory country of origin labeling""","""Additionally, the Agency should be flexible when it comes to where the records must be maintained.""","""Small businesses should also be given a reasonable amount of time to respond to requests for records by the Agency.""",2,,2,2,1,,,,,,"Link to proposed rule: https://www.federalregister.gov/documents/2003/10/30/03-27249/mandatory-country-of-origin-labeling-of-beef-lamb-pork-fish-perishable-agricultural-commodities-and , link to actual rule: https://www.ecfr.gov/current/title-7/subtitle-B/chapter-I/subchapter-C/part-65  ... Does not appear to be any direct replies to public comments but the impact of these types of asks for small businesses is very pronounced in the final draft ", 
AMS-LS-07-0081,AMS-LS-07-0081-0599,https://www.regulations.gov/comment/AMS-LS-07-0081-0599,1,1,2008-09-22,110,Jon Tester,"TESTER, Jon",Senate,montana,40702,"Tester, Senator Jon",U.S. Senate,,2008-09-22,elected,"TESTER, Jon",Senate-montana,5,,,,,Have a specific labelling requirement for exclusively US meat so as to help domestic producers ,Have a specific labelling requirement for exclusively US meat so as to help domestic producers ,,,,,,,,,,,,,He is named on the collective comment below as well ,
AMS-LS-07-0081,AMS-LS-07-0081-0669,https://www.regulations.gov/comment/AMS-LS-07-0081-0669,1,1,2008-09-29,110,Tim Johnson,"JOHNSON, Timothy Peter (Tim)",Senate,south dakota,15425,"Johnson, Tim Senator",U.S. Senate,,2008-09-29,elected,"JOHNSON, Timothy Peter (Tim); ENZI, Mike; HARKIN, Tom; GRASSLEY, Charles E.; DORGAN, Byron L.; BARASSO, John; BINGAMAN, Jeff; DOMENICI, Pete V.; MCcASKILL, Claire; THUNE, John; NELSON, E. Benjamin; TESTER, John; CLINTON, Hillary Rodham; WYDEN, Ron; SALAZAR, Ken; BROWN, Sherrod; OBAMA, Barack; KLOBUCHAR, Amy; KERRY, John. F; CASEY JR, Robert P.; FEINGOLD, Russel D.; BOXER, Barbara; CONRAD, Kent; MURRAY, Patty; BIDEN JR, Joseph R.; CANTWELL, Maria; BAUCAS, Max",Senate-south dakota;coaltion,5,,,,,More closely reflect congressional intent in the bill by following the Agriculture Marketing Act of 1946 more specifically,Meat products exclusively from the US should have their own distinct label ,Processed products should be included in the rule ,More clearly define the record-keeping requirements without singling out any single businesses for unreasonable information ,,,,,,,,,,,"Link to originally linked press release version from the office of the senator (originally another column with all the same info) https://www.regulations.gov/comment/AMS-LS-07-0081-0644       Link to proposed rule: https://www.federalregister.gov/documents/2003/10/30/03-27249/mandatory-country-of-origin-labeling-of-beef-lamb-pork-fish-perishable-agricultural-commodities-and  , link to actual rule: https://www.ecfr.gov/current/title-7/subtitle-B/chapter-I/subchapter-C/part-65 ", 
AMS-LS-07-0081,AMS-LS-07-0081-0786,https://www.regulations.gov/comment/AMS-LS-07-0081-0786,1,1,2008-10-01,110,Collin Peterson,"PETERSON, Collin Clark",House,minnesota,29127,"Peterson, Boswell, and DeLauro - House Members",U.S. House of Representatives,,2008-10-01,elected,"PETERSON, Collin Clark; BOSWELL, Leonard.L; DElAURO, Rosa L. ",House-minnesota;coaltion,5,,,,,"""It is our concern that a segment of the meat-packing industry is trying to execute the law in a manner outside the intent of congress"" ","""We write today to ask you to clarify the USDA's position on the use of category A and B labels"" ","""We would like to know if additional data entry points can be inserted in the retail survey instrument""",,,,,,,,,,,,,
AMS-LS-07-0081,AMS-LS-07-0081-0793,https://www.regulations.gov/comment/AMS-LS-07-0081-0793,1,1,2008-10-14,110,Pomeroy Earl,"POMEROY, Earl Ralph, III",House,north dakota,29384,"Pomeroy, Senator Earl",U.S. Senate,,2008-10-14,elected,"POMEROY, Earl Ralph, III",House-north dakota,,,,,,,,,,,,,,,,,,,,,
AMS-LS-07-0081,AMS-LS-07-0081-0794,https://www.regulations.gov/comment/AMS-LS-07-0081-0794,1,1,2008-10-14,110,Johnny Isakson,"ISAKSON, Johnny",Senate,georgia,29909,"Isakson, Senator Johnny",U.S. Senate,,2008-10-14,elected,"ISAKSON, Johnny",Senate-georgia,,,,,,,,,,,,,,,,,,,,,
AMS-LS-07-0131,AMS-LS-07-0131-0320,https://www.regulations.gov/comment/AMS-LS-07-0131-0320,0,1,2008-01-17,110,Sue Wallis,,,,,Comment on FR Doc # E7-23103,Wyoming House of Representatives,,2008-01-17,elected; state house,,-,,,,,,,,,,,,,,,,,,,,,
AMS-NOP-10-0068,AMS-NOP-10-0068-0142,https://www.regulations.gov/comment/AMS-NOP-10-0068-0142,0,1,2010-10-12,111,Floyd Prozanski,,,,,"HC - Hops - Floyd Prozanski, Oregon State Senate",Oregon State Senate,,2010-10-12,elected; state senate,,-,,,,,,,,,,,,,,,,,,,,,
AMS-NOP-11-0002,AMS-NOP-11-0002-0006,https://www.regulations.gov/comment/AMS-NOP-11-0002-0006,1,1,2011-08-04,112,Olympia Snowe,"SNOWE, Olympia Jean",Senate,maine,14661,"Kelp, Olympia Snowe, Senator, Maine",US Senate,,2011-08-04,elected,"SNOWE, Olympia Jean",Senate-maine,,,,,,,,,,,,,,,,,,,,,
AMS-NOP-11-0002,AMS-NOP-11-0002-0007,https://www.regulations.gov/comment/AMS-NOP-11-0002-0007,1,1,2011-08-08,112,Chellie Pingree,"PINGREE, Chellie",House,maine,20920,"Kelp, Chellie Pingree, US, House of Representatives, Maine",U.S. House of Representatives,,2011-08-08,elected,"PINGREE, Chellie",House-maine,,,,,,,,,,,,,,,,,,,,,
AMS-NOP-11-0002,AMS-NOP-11-0002-0008,https://www.regulations.gov/comment/AMS-NOP-11-0002-0008,1,1,2011-08-08,112,Michael Michaud,"MICHAUD, Michael H.",House,maine,20328,"Kelp, Michael Michaud, US House of Representatives, Maine","U.S., House of Representatives",,2011-08-08,elected,"MICHAUD, Michael H.",House-maine,,,,,,,,,,,,,,,,,,,,,
AMS-NOP-12-0017,AMS-NOP-12-0017-0926,https://www.regulations.gov/comment/AMS-NOP-12-0017-0926,0,1,2012-05-01,112,Douglas Leland,,,,,_LC-Animal Welfare-Poultry-Douglas Leland,U.S. House and Senate,,2012-05-01,,,-,,,,,,,,,,,,,,,,,,,,,
AMS-NOP-15-0012,AMS-NOP-15-0012-125652,https://www.regulations.gov/comment/AMS-NOP-15-0012-125652,1,1,2018-01-29,115,Angus King,"KING, Angus Stanley, Jr.",Senate,maine,41300,Angus King Senate,US Senate,,2018-01-29,elected,"KING, Angus Stanley, Jr.",Senate-maine,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-0651,https://www.regulations.gov/comment/AMS-SC-19-0042-0651,0,1,2019-11-18,116,Christopher Judy,,,,,"comment from Judy, First_name",Indiana State Representative District 83,,2019-11-18,,,-,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-0746,https://www.regulations.gov/comment/AMS-SC-19-0042-0746,1,1,2019-11-21,116,Ron Wyden,"WYDEN, Ronald Lee",Senate,oregon,14871,"comment from Wyden, First_name",United States Senate,,2019-11-21,elected,"WYDEN, Ronald Lee",Senate-oregon,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-1217,https://www.regulations.gov/comment/AMS-SC-19-0042-1217,1,1,2019-12-18,116,Micah Barbour,"WARNER, Mark",Senate,virginia,40909,"comment from Barbour, First_name",Senator Mark R. Warner (D-VA),,2019-12-18,elected,"WARNER, Mark",Senate-virginia,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-1267,https://www.regulations.gov/comment/AMS-SC-19-0042-1267,1,1,2019-12-19,116,Anonymous Anonymous,,,,,"comment from Anonymous, First_name",Virginia Members of Congress,,2019-12-19,,,-,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-1269,https://www.regulations.gov/comment/AMS-SC-19-0042-1269,1,1,2019-12-19,116,Anonymous Anonymous,"BRAUN, Michael",Senate,indiana,41900,"comment from Anonymous, First_name",Senator Mike Braun and Congressman James Baird,,2019-12-19,elected,"BRAUN, Michael",Senate-indiana,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-1269,https://www.regulations.gov/comment/AMS-SC-19-0042-1269,1,1,2019-12-19,116,Anonymous Anonymous,"BAIRD, James",House,indiana,21903,"comment from Anonymous, First_name",Senator Mike Braun and Congressman James Baird,,2019-12-19,elected,"BAIRD, James",House-indiana,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-2078,https://www.regulations.gov/comment/AMS-SC-19-0042-2078,1,1,2020-01-24,116,Sen. Patrick Testin,,,,,"comment from Testin , First_name","Senate District 24, WI State Senate",,2020-01-24,,,-,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-3127,https://www.regulations.gov/comment/AMS-SC-19-0042-3127,1,1,2020-01-29,116,Sadie Red Eagle,,,,,"comment from Red Eagle, First_name",National Congress of American Indians,,2020-01-29,,,-,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-3747,https://www.regulations.gov/comment/AMS-SC-19-0042-3747,1,1,2020-01-30,116,Mark Pocan,"POCAN, Mark",House,wisconsin,21370,"comment from Pocan, First_name",Office of Rep. Pocan,,2020-01-30,elected,"POCAN, Mark",House-wisconsin,,,,,,,,,,,,,,,,,,,,,
AMS-SC-19-0042,AMS-SC-19-0042-5463,https://www.regulations.gov/comment/AMS-SC-19-0042-5463,1,1,2020-10-07,116,Leigh Kammerich,,,,,"comment from Kammerich, First_name",Rural County Representatives of California,,2020-10-07,,,-,,,,,,,,,,,,,,,,,,,,,
AMS-TM-06-0198,AMS-TM-06-0198-2497,https://www.regulations.gov/comment/AMS-TM-06-0198-2497,0,1,2009-01-15,111,Candis Harbison,"BOYD, F. Allen, Jr.",House,florida,29713,"Comment from Candis Harbison, Rep. Boyd",Rep. Boyd,,2009-01-15,elected,"BOYD, F. Allen, Jr.",House-florida,,,,,,,,,,,,,,,,,,,,,
AMS-TM-17-0050,AMS-TM-17-0050-13381,https://www.regulations.gov/comment/AMS-TM-17-0050-13381,0,1,2018-07-03,115,Vern Buchanan,"BUCHANAN, Vernon G.",House,florida,20709,"Buchanan, Vern: Office of Congressman Vern Buchanan",Office of Congressman Vern Buchanan,,2018-07-03,elected,"BUCHANAN, Vernon G.",House-florida,,,,,,,,,,,,,,,,,,,,,
AMS-TM-17-0050,AMS-TM-17-0050-14029,https://www.regulations.gov/comment/AMS-TM-17-0050-14029,2,1,2018-09-10,115,Jeffrey Merkley et al.,"MERKLEY, Jeff",Senate,oregon,40908,Senators Letter 072418,U.S. Senate,,2018-09-10,elected,"MERKLEY, Jeff",Senate-oregon,,,,,,,,,,,,,,,,,,,,,
AMS-TM-17-0050,AMS-TM-17-0050-3551,https://www.regulations.gov/comment/AMS-TM-17-0050-3551,0,1,2018-06-20,115,Brit Hadden,,,,,"Hadden, Brit: Congress",Congress,,2018-06-20,,,-,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0047,APHIS-2005-0047-0016,https://www.regulations.gov/comment/APHIS-2005-0047-0016,1,1,2006-05-22,109,Doc Hastings,"HASTINGS, Richard Norman (Doc)",House,washington,29580,"Comment from Doc Hastings, House of Representatives","Congress of the United States, House of Representatives",,2006-05-22,elected,"HASTINGS, Richard Norman (Doc)",House-washington,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0063,APHIS-2005-0063-0323,https://www.regulations.gov/comment/APHIS-2005-0063-0323,0,1,2005-10-03,109,Linda Iroff,,,,,Comment from Linda Iroff,International Ferret Congress,,2005-10-03,,International Ferret Congress,ngo,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0063,APHIS-2005-0063-0487,https://www.regulations.gov/comment/APHIS-2005-0063-0487,1,1,2005-11-18,109,Linda Iroff,,,,,Comment from Linda Iroff,International Ferret Congress,,2005-11-18,,International Ferret Congress,ngo,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0063,APHIS-2005-0063-0494,https://www.regulations.gov/comment/APHIS-2005-0063-0494,0,1,2005-11-18,109,Deborah DeVore,,,,,Comment from Deborah DeVore,International Ferret Congress,,2005-11-18,,International Ferret Congress,ngo,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0063,APHIS-2005-0063-0496,https://www.regulations.gov/comment/APHIS-2005-0063-0496,0,1,2005-11-18,109,Deborah DeVore,,,,,Comment from Deborah DeVore,"Health Issues Coordinator, International Ferret Congress",,2005-11-18,,International Ferret Congress,ngo,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0063,APHIS-2005-0063-0497,https://www.regulations.gov/comment/APHIS-2005-0063-0497,1,1,2005-11-18,109,Interntional Ferret Congress,,,,,Comment from International Ferret Congress,International Ferret Congress,,2005-11-18,,,-,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0079,APHIS-2005-0079-0006,https://www.regulations.gov/comment/APHIS-2005-0079-0006,1,1,2005-11-09,109,Marion Berry,"BERRY, Robert Marion",House,arkansas,29702,Comment from Marion Berry,"Congress of the Untied States, House of Representatives",,2005-11-09,elected,"BERRY, Robert Marion",House-arkansas,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0079,APHIS-2005-0079-0009,https://www.regulations.gov/comment/APHIS-2005-0079-0009,1,1,2005-11-17,109,Joseph Crowley,"CROWLEY, Joseph",House,new york,29925,Comment from Congressman Joseph Crowley,House of Representatives,,2005-11-17,elected,"CROWLEY, Joseph",House-new york,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0079,APHIS-2005-0079-0018,https://www.regulations.gov/comment/APHIS-2005-0079-0018,1,1,2005-11-29,109,Robert Brady,"BRADY, Robert A.",House,pennsylvania,29777,"Comment from Robert A Brady, Congressman from Pennsylvania",Congress of the United States,,2005-11-29,elected,"BRADY, Robert A.",House-pennsylvania,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0079,APHIS-2005-0079-0019,https://www.regulations.gov/comment/APHIS-2005-0079-0019,1,1,2005-11-29,109,Frank Lautenberg,"LAUTENBERG, Frank Raleigh",Senate,new jersey,14914,"Comment from Frank R Lautenberg, Senator from New Jersey",United States Senate,,2005-11-29,elected,"LAUTENBERG, Frank Raleigh",Senate-new jersey,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0079,APHIS-2005-0079-0020,https://www.regulations.gov/comment/APHIS-2005-0079-0020,1,1,2005-11-29,109,Allyson Schwartz,"SCHWARTZ, Allyson Y.",House,pennsylvania,20525,Comment from Congresswoman Allyson Y Schwartz,House of Representatives,,2005-11-29,elected,"SCHWARTZ, Allyson Y.",House-pennsylvania,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0079,APHIS-2005-0079-0026,https://www.regulations.gov/comment/APHIS-2005-0079-0026,1,1,2005-11-30,109,John Shimkus,"SHIMKUS, John M.",House,illinois,29718,Comment from Congressman John Shimkus,Congress of the United States,,2005-11-30,elected,"SHIMKUS, John M.",House-illinois,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0079,APHIS-2005-0079-0027,https://www.regulations.gov/comment/APHIS-2005-0079-0027,1,1,2005-11-30,109,Arlen Specter,"SPECTER, Arlen",Senate,pennsylvania,14910,Comment from Senator Arlen Specter,United States Senate,,2005-11-30,elected,"SPECTER, Arlen",Senate-pennsylvania,,,,,,,,,,,,,,,,,,,,,
APHIS-2005-0079,APHIS-2005-0079-0028,https://www.regulations.gov/comment/APHIS-2005-0079-0028,1,1,2005-12-01,109,Chaka Fattah,"FATTAH, Chaka",House,pennsylvania,29559,"Comment from Chaka Fattah, Member of Congress","Congress of the United States, House of Representatives",,2005-12-01,elected,"FATTAH, Chaka",House-pennsylvania,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0013,APHIS-2006-0013-0012,https://www.regulations.gov/comment/APHIS-2006-0013-0012,1,1,2007-02-13,110,Congressman Tom Cole,"FALLIN, Mary",House,oklahoma,20742,"Comment from Tom Cole, Mary Fallin, and James Inhofe, United States Congress",United States Congress,,2007-02-13,elected,"FALLIN, Mary",House-oklahoma,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0013,APHIS-2006-0013-0012,https://www.regulations.gov/comment/APHIS-2006-0013-0012,1,1,2007-02-13,110,Congressman Tom Cole,"COLE, Tom",House,oklahoma,20344,"Comment from Tom Cole, Mary Fallin, and James Inhofe, United States Congress",United States Congress,,2007-02-13,elected,"COLE, Tom",House-oklahoma,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0013,APHIS-2006-0013-0012,https://www.regulations.gov/comment/APHIS-2006-0013-0012,1,1,2007-02-13,110,Congressman Tom Cole,"INHOFE, James Mountain",Senate,oklahoma,15424,"Comment from Tom Cole, Mary Fallin, and James Inhofe, United States Congress",United States Congress,,2007-02-13,elected,"INHOFE, James Mountain",Senate-oklahoma,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0024,APHIS-2006-0024-0146,https://www.regulations.gov/comment/APHIS-2006-0024-0146,1,1,2008-07-08,110,Linda Iroff,,,,,"Comment from Linda Iroff, International Ferret Congress",International Ferret Congress,,2008-07-08,,,-,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0040,APHIS-2006-0040-0035,https://www.regulations.gov/comment/APHIS-2006-0040-0035,0,1,2006-09-25,109,Rep. Corrine Brown,"BROWN, Corrine",House,florida,29328,"Comment from Rep Corinne Brown, US House of Representatives",U.S. House of Representatives,,2006-09-25,elected,"BROWN, Corrine",House-florida,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0040,APHIS-2006-0040-0039,https://www.regulations.gov/comment/APHIS-2006-0040-0039,1,1,2006-09-25,109,Kendrick Meek,"MEEK, Kendrick B.",House,florida,20358,"Comment from Kendrick B Meek, Member of Congress",United States House of Representatives,,2006-09-25,elected,"MEEK, Kendrick B.",House-florida,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0040,APHIS-2006-0040-0040,https://www.regulations.gov/comment/APHIS-2006-0040-0040,1,1,2006-09-25,109,Neil Abercrombie,"ABERCROMBIE, Neil",House,hawaii,15245,"Comment from Congressman Neil Abercrombie, Senator Daniel K Inouye, and Senator Daniel K Akaka",United States House of Representatives,,2006-09-25,elected,"ABERCROMBIE, Neil",House-hawaii,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0040,APHIS-2006-0040-0040,https://www.regulations.gov/comment/APHIS-2006-0040-0040,1,1,2006-09-25,109,Neil Abercrombie,"AKAKA, Daniel Kahikina",Senate,hawaii,14400,"Comment from Congressman Neil Abercrombie, Senator Daniel K Inouye, and Senator Daniel K Akaka",United States House of Representatives,,2006-09-25,elected,"AKAKA, Daniel Kahikina",Senate-hawaii,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0040,APHIS-2006-0040-0040,https://www.regulations.gov/comment/APHIS-2006-0040-0040,1,1,2006-09-25,109,Neil Abercrombie,"INOUYE, Daniel Ken",Senate,hawaii,4812,"Comment from Congressman Neil Abercrombie, Senator Daniel K Inouye, and Senator Daniel K Akaka",United States House of Representatives,,2006-09-25,elected,"INOUYE, Daniel Ken",Senate-hawaii,,,,,,,,,,,,,,,,,,,,,
APHIS-2006-0040,APHIS-2006-0040-0041,https://www.regulations.gov/comment/APHIS-2006-0040-0041,1,1,2006-09-25,109,Katherine Harris,"HARRIS, Katherine",House,florida,20314,"Comment from Katherine Harris, US House of Representatives",U.S. House of Representatives,,2006-09-25,elected,"HARRIS, Katherine",House-florida,,,,,,,,,,,,,,,,,,,,,
